taxiID	true total demand	total demand	difference	served demand	total distance	served distance	total time	served time	taxi revenue	taxi profit
173	33	33	0	23	376.62	189.732	31836	19931	541.085	541.085
174	63	63	0	24	366.079	161.329	43914	18828	516.084	516.084
175	61	61	0	35	308.763	114.969	36395	18035	593.168	593.168
176	37	37	0	23	330.084	159.119	27237	14897	506.557	506.557
177	32	32	0	27	337.054	264.074	30599	23346	697.551	697.551
178	48	48	0	26	348.191	176.868	31801	15141	575.011	575.011
179	70	70	0	25	287.234	63.6331	39384	10686	398.663	398.663
180	37	37	0	28	208.357	141.464	28581	20321	525.378	525.378
181	32	32	0	24	284.089	179.277	27763	19565	534.835	534.835
182	47	47	0	18	271.275	80.3066	28428	10167	333.545	333.545
183	57	57	0	17	381.391	73.4444	36757	7243	317.292	317.292
184	43	43	0	20	383.755	117.247	30116	11520	416.884	416.884
185	28	28	0	9	437.039	104.261	31018	8990	258.43	258.43
186	39	39	0	7	335.793	84.8606	31218	6217	205.178	205.178
187	65	65	0	32	261.673	74.2521	36108	13954	495.154	495.154
188	48	48	0	28	344.894	175.365	40700	19808	578.024	578.024
189	42	42	0	22	297.101	158.641	32022	16509	493.291	493.291
190	30	30	0	12	398.732	77.2872	26653	7930	247.036	247.036
191	51	51	0	30	259.654	103.891	32454	17556	497.732	497.732
192	55	55	0	20	294.828	144.879	33757	13870	435.876	435.876
193	58	58	0	20	414.599	148.95	36787	13863	444.524	444.524
194	32	32	0	26	261.379	191.113	27173	20638	575.493	575.493
195	58	58	0	52	414.743	368.901	49488	44227	1146.28	1146.28
196	80	80	0	53	365.66	200.395	45703	30906	915.382	915.382
197	44	44	0	21	362.516	102.01	36955	13760	391.638	391.638
198	25	25	0	20	486.98	214.151	36007	15662	543.344	543.344
199	25	25	0	15	274.734	198.34	20247	13927	468.582	468.582
200	43	43	0	39	425.064	337.04	34133	28728	949.724	949.724
201	65	65	0	15	333.134	44.5119	38709	8684	244.805	244.805
202	63	63	0	17	347.29	61.676	39797	9391	295.149	295.149
203	52	52	0	41	417.658	249.955	37814	26185	835.713	835.713
204	39	39	0	18	303.896	80.6886	29401	13032	336.53	336.53
205	25	25	0	8	397.17	144.529	25589	7685	305.71	305.71
206	45	45	0	37	383.655	264.734	30965	23718	827.58	827.58
207	7	7	0	7	22.09	22.09	36467	36467	112.684	112.684
208	36	36	0	11	421.291	125.394	32230	10133	311.013	311.013
209	58	58	0	42	268.616	211.934	36329	29149	803.319	803.319
210	23	23	0	14	276.264	137.109	20943	12397	360.827	360.827
211	60	60	0	12	446.111	116.763	47378	8916	303.326	303.326
212	32	32	0	26	313.228	218.404	23893	18170	614.298	614.298
213	49	49	0	9	444.315	125.775	42988	9952	292.345	292.345
214	58	58	0	12	307.007	71.3948	36186	6948	240.763	240.763
215	55	55	0	25	293.468	88.9348	31707	12645	433.279	433.279
216	32	32	0	28	443.17	315.731	34441	26906	775.476	775.476
217	82	82	0	36	378.219	145.515	53401	26590	631.679	631.679
218	66	66	0	31	398.598	160.77	44756	23617	592.39	592.39
219	49	49	0	30	365.833	224.586	31381	17258	691.829	691.829
220	47	47	0	13	325.892	110.028	33951	10911	311.766	311.766
221	56	56	0	12	320.597	114.093	36581	11000	300.642	300.642
222	54	54	0	31	314.185	178.82	38395	23944	624.652	624.652
223	43	43	0	13	257.348	84.01	27594	9819	270.568	270.568
224	64	64	0	41	357.525	255.88	38533	25214	851.745	851.745
225	27	27	0	19	329.42	211.676	21212	13802	526.91	526.91
226	33	33	0	4	297.334	108.533	30722	8288	204.8	204.8
227	45	45	0	10	399.133	116.691	36147	9636	288.929	288.929
228	41	41	0	13	357.029	95.897	31633	9289	291.772	291.772
229	32	32	0	9	339.238	76.6786	30438	7189	212.196	212.196
230	41	41	0	6	317.488	115.417	32352	9001	237.157	237.157
231	72	72	0	5	250.769	30.0075	46270	2506	103.336	103.336
232	16	16	0	10	410.965	207.175	35371	12079	415.762	415.762
233	55	55	0	41	340.079	255.814	38775	30209	857.493	857.493
234	52	52	0	22	260.3	99.0421	29678	12648	401.673	401.673
235	35	35	0	7	286.125	78.4738	26740	7279	196.439	196.439
236	80	80	0	29	359.805	126.618	45436	14891	529.127	529.127
237	56	56	0	31	365.922	214.266	38549	21628	679.153	679.153
238	52	52	0	14	391.464	162.901	46581	19577	396.475	396.475
239	56	56	0	23	252.086	70.6765	31814	12937	372.987	372.987
240	65	65	0	18	418.922	92.1345	43874	9016	347.496	347.496
241	36	36	0	16	330.712	136.296	26588	9814	386.93	386.93
242	45	45	0	20	209.625	115.631	24216	11796	397.087	397.087
243	38	38	0	23	339.543	183.574	30896	15314	532.989	532.989
244	38	38	0	6	411.429	128.701	32622	8245	256.051	256.051
245	46	46	0	33	270.497	190.708	37854	26775	651.122	651.122
246	23	23	0	11	431.47	211.534	29549	11491	436.09	436.09
247	29	29	0	22	260.526	153.171	21981	14231	489.297	489.297
248	50	50	0	21	319.502	106.948	34335	13389	408.169	408.169
